build_year,full_sq,kitch_sq,life_sq,num_room,floor,max_floor,rel_floor,rel_kitch_sq,state,kindergarten_closely,railroad_closely,public_transport_station_closely,metro_closely,school_closely,park_closely,water_closely,price_doc
,43.0,,27.0,,4.0,,,,,1,1,1,1,1,0,0,5850000.0
,34.0,,19.0,,3.0,,,,,1,1,1,1,1,0,0,6000000.0
,43.0,,29.0,,2.0,,,,,1,1,1,0,1,1,1,5700000.0
,89.0,,50.0,,9.0,,,,,1,0,1,1,1,1,0,13100000.0
,77.0,,77.0,,4.0,,,,,1,1,1,1,1,1,0,16331452.0
,67.0,,46.0,,14.0,,,,,1,1,1,0,1,0,0,9100000.0
,25.0,,14.0,,10.0,,,,,0,1,1,1,0,0,1,5500000.0
,44.0,,44.0,,5.0,,,,,1,0,1,1,0,0,0,2000000.0
,42.0,,27.0,,5.0,,,,,1,1,1,1,1,0,1,5300000.0
,36.0,,21.0,,9.0,,,,,1,1,1,1,1,0,0,2000000.0
,36.0,,19.0,,12.0,,,,,1,0,1,1,1,1,0,4650000.0
,38.0,,19.0,,11.0,,,,,1,1,1,0,1,0,0,4800000.0
,43.0,,28.0,,4.0,,,,,1,1,1,0,0,0,0,5100000.0
,31.0,,31.0,,4.0,,,,,1,1,1,1,0,1,1,5200000.0
,31.0,,21.0,,3.0,,,,,1,1,1,1,0,0,0,5000000.0
,47.0,,31.0,,4.0,,,,,1,1,1,1,1,0,0,6300000.0
,42.0,,28.0,,2.0,,,,,1,1,1,1,1,0,0,5900000.0
,59.0,,33.0,,10.0,,,,,1,0,1,0,0,1,0,7900000.0
,44.0,,29.0,,4.0,,,,,1,1,1,1,1,0,0,5200000.0
,74.0,,44.0,,10.0,,,,,1,1,1,0,0,0,1,8200000.0
,39.0,,39.0,,7.0,,,,,0,1,1,0,1,0,1,5200000.0
,48.0,,34.0,,6.0,,,,,0,1,1,0,1,0,0,6250000.0
,32.0,,18.0,,3.0,,,,,1,0,1,1,1,0,0,5750000.0
,34.0,,19.0,,11.0,,,,,1,1,1,0,0,0,1,6000000.0
,35.0,,20.0,,4.0,,,,,1,1,1,1,1,0,0,5000000.0
,38.0,,20.0,,6.0,,,,,1,1,1,1,1,0,1,4700000.0
,73.0,,38.0,,15.0,,,,,1,1,1,1,1,0,1,8254400.0
,42.0,,27.0,,3.0,,,,,1,1,1,0,1,0,0,5900000.0
,40.0,,20.0,,12.0,,,,,1,0,1,1,1,0,0,6200000.0
,81.0,,46.0,,24.0,,,,,1,1,1,1,1,0,0,18300000.0
,38.0,,34.0,,2.0,,,,,1,1,1,0,1,0,1,4900000.0
,31.0,,18.0,,4.0,,,,,1,1,1,0,1,0,0,4400000.0
,39.0,,19.0,,1.0,,,,,0,1,1,0,1,0,0,3900000.0
,39.0,,20.0,,1.0,,,,,1,0,1,1,1,0,1,4850000.0
,37.0,,19.0,,9.0,,,,,1,1,1,1,1,1,1,5700000.0
,27.0,,27.0,,4.0,,,,,0,1,1,1,1,0,0,4300000.0
,33.0,,18.0,,2.0,,,,,1,1,1,1,1,0,1,4500000.0
,33.0,,18.0,,9.0,,,,,1,1,1,0,1,0,0,2000000.0
,45.0,,30.0,,5.0,,,,,1,1,1,0,0,0,1,6200000.0
,54.0,,30.0,,10.0,,,,,1,1,1,0,0,0,1,7500000.0
,40.0,,25.0,,3.0,,,,,1,1,1,1,0,1,0,5900000.0
,59.0,,42.0,,8.0,,,,,1,0,1,1,1,0,1,9550000.0
,77.0,,45.0,,10.0,,,,,1,0,1,1,1,0,1,8600000.0
,42.0,,22.0,,24.0,,,,,0,1,1,1,0,0,1,2312800.0
,38.0,,23.0,,4.0,,,,,1,1,0,1,1,0,0,6200000.0
,36.0,,18.0,,5.0,,,,,1,1,1,1,0,0,1,4833000.0
,44.0,,28.0,,2.0,,,,,1,1,1,0,1,0,0,5300000.0
,37.0,,19.0,,11.0,,,,,1,1,1,0,0,0,1,5150000.0
,37.0,,19.0,,6.0,,,,,1,0,1,1,1,0,0,5098000.0
,46.0,,29.0,,9.0,,,,,1,1,1,0,1,0,0,5500000.0
,38.0,,37.0,,11.0,,,,,0,1,1,1,0,0,1,6000000.0
,34.0,,19.0,,10.0,,,,,1,1,1,0,1,0,0,4800000.0
,43.0,,25.0,,1.0,,,,,1,1,1,1,1,0,0,5500000.0
,35.0,,35.0,,6.0,,,,,1,1,1,1,0,0,1,5000000.0
,75.0,,46.0,,12.0,,,,,1,1,1,1,1,0,0,9950000.0
,96.0,,51.0,,16.0,,,,,0,0,1,0,0,0,0,14000000.0
,52.0,,34.0,,4.0,,,,,1,1,1,0,1,0,0,7200000.0
,44.0,,30.0,,10.0,,,,,1,1,1,1,1,0,0,8400000.0
,39.0,,39.0,,10.0,,,,,1,1,1,1,0,1,0,2080000.0
,35.0,,20.0,,11.0,,,,,1,1,1,1,0,0,0,5750000.0
,63.0,,60.0,,12.0,,,,,1,1,1,1,1,0,1,10011000.0
,51.0,,50.0,,16.0,,,,,0,1,1,1,0,0,1,7100000.0
,45.0,,30.0,,6.0,,,,,1,0,1,1,1,0,0,6600000.0
,32.0,,19.0,,9.0,,,,,1,1,1,0,1,0,1,5300000.0
,64.0,,28.0,,10.0,,,,,1,1,1,1,1,0,0,2630000.0
,38.0,,19.0,,8.0,,,,,1,0,1,0,1,1,1,4550000.0
,37.0,,22.0,,6.0,,,,,0,1,1,1,0,0,0,7400000.0
,46.0,,28.0,,3.0,,,,,0,1,1,1,0,0,0,5300000.0
,74.0,,46.0,,17.0,,,,,1,0,1,1,1,0,0,8900000.0
,30.0,,17.0,,7.0,,,,,1,0,1,0,0,0,0,4950000.0
,53.0,,30.0,,13.0,,,,,1,0,1,0,0,0,0,7800000.0
,133.0,,64.0,,2.0,,,,,1,1,1,1,0,0,0,17600000.0
,63.0,,33.0,,2.0,,,,,1,1,1,1,1,0,0,9000000.0
,43.0,,21.0,,7.0,,,,,1,0,1,1,0,0,1,6700000.0
,34.0,,20.0,,7.0,,,,,0,1,1,0,1,0,0,4000000.0
,43.0,,28.0,,9.0,,,,,0,1,1,0,0,0,0,4450000.0
,76.0,,74.0,,7.0,,,,,1,0,1,1,1,0,1,12500000.0
,32.0,,19.0,,8.0,,,,,1,0,1,0,0,0,0,3775000.0
,50.0,,30.0,,5.0,,,,,0,1,1,1,1,1,0,9500000.0
,72.0,,45.0,,1.0,,,,,1,1,1,1,1,0,1,7000000.0
,45.0,,30.0,,3.0,,,,,1,1,1,1,1,0,1,6504000.0
,54.0,,37.0,,4.0,,,,,1,1,1,1,0,1,1,12900000.0
,39.0,,18.0,,8.0,,,,,0,1,1,0,1,1,1,9500000.0
,51.0,,30.0,,15.0,,,,,1,1,1,0,1,0,1,7100000.0
,41.0,,25.0,,5.0,,,,,1,1,1,1,0,0,0,5350000.0
,37.0,,16.0,,9.0,,,,,1,1,1,1,1,0,0,8600000.0
,44.0,,28.0,,4.0,,,,,1,0,1,1,0,0,0,5950000.0
,38.0,,34.0,,3.0,,,,,1,0,1,1,0,0,1,2900000.0
,26.0,,,,6.0,,,,,1,1,1,1,1,0,0,4146000.0
,34.0,,19.0,,9.0,,,,,1,1,1,1,1,0,1,5200000.0
,52.0,,30.0,,1.0,,,,,1,1,1,0,1,0,0,6300000.0
,46.0,,27.0,,14.0,,,,,0,1,1,1,0,0,0,7200000.0
,77.0,,40.0,,15.0,,,,,1,1,1,0,1,0,0,13800000.0
,44.0,,20.0,,8.0,,,,,1,1,1,1,1,0,1,6200000.0
,54.0,,31.0,,1.0,,,,,1,1,1,0,1,0,0,6800000.0
,74.0,,72.0,,8.0,,,,,1,1,1,0,1,0,1,7200000.0
,46.0,,28.0,,4.0,,,,,1,1,1,1,0,0,0,6350000.0
,32.0,,19.0,,8.0,,,,,0,1,1,0,0,0,0,4750000.0
,50.0,,30.0,,8.0,,,,,1,1,1,0,1,0,0,6100000.0
,58.0,,43.0,,4.0,,,,,1,0,1,0,1,1,0,8100000.0
,54.0,,32.0,,15.0,,,,,0,1,1,1,1,0,1,6800000.0
,32.0,,17.0,,3.0,,,,,1,0,1,1,0,0,0,4650000.0
,78.0,,47.0,,6.0,,,,,1,1,0,0,1,0,0,5759000.0
,36.0,,34.0,,2.0,,,,,1,1,1,0,1,0,0,2000000.0
,57.0,,33.0,,2.0,,,,,0,1,1,0,1,0,1,6100000.0
,61.0,,42.0,,1.0,,,,,1,1,1,1,1,0,0,11000000.0
,52.0,,30.0,,5.0,,,,,1,0,1,0,1,0,1,7950000.0
,48.0,,31.0,,5.0,,,,,1,1,1,1,0,0,0,8000000.0
,39.0,,21.0,,6.0,,,,,1,0,1,0,1,0,1,4950000.0
,51.0,,31.0,,15.0,,,,,1,1,1,1,0,0,0,8300000.0
,33.0,,32.0,,5.0,,,,,1,1,1,0,0,0,1,4800000.0
,40.0,,20.0,,3.0,,,,,1,1,1,0,1,0,0,4850000.0
,47.0,,29.0,,3.0,,,,,1,0,1,0,0,0,1,2000000.0
,37.0,,19.0,,1.0,,,,,0,0,1,0,1,0,1,5900000.0
,44.0,,27.0,,4.0,,,,,1,0,1,0,0,0,1,6000000.0
,32.0,,20.0,,2.0,,,,,1,1,1,1,0,0,0,4700000.0
,53.0,,32.0,,1.0,,,,,1,1,1,1,1,0,0,6100000.0
,55.0,,35.0,,3.0,,,,,1,0,1,0,1,0,0,7450000.0
,51.0,,28.0,,3.0,,,,,1,1,1,0,1,1,1,5000000.0
,32.0,,19.0,,7.0,,,,,1,1,1,0,0,0,1,4750000.0
,22.0,,14.0,,9.0,,,,,1,1,1,0,1,1,1,3500000.0
,36.0,,17.0,,10.0,,,,,1,0,1,0,1,0,1,2000000.0
,44.0,,27.0,,1.0,,,,,1,1,1,1,1,0,1,6000000.0
,51.0,,30.0,,3.0,,,,,1,0,1,1,1,0,0,8150000.0
,102.0,,64.0,,11.0,,,,,1,1,1,1,0,0,0,4600000.0
,117.0,,108.0,,20.0,,,,,0,1,1,1,1,0,0,14103600.0
,31.0,,20.0,,1.0,,,,,1,1,1,0,1,0,1,5600000.0
,59.0,,42.0,,9.0,,,,,1,1,1,0,1,0,0,6200000.0
,30.0,,18.0,,3.0,,,,,1,0,1,1,0,0,0,4450000.0
,54.0,,32.0,,13.0,,,,,1,1,1,0,1,0,0,7050000.0
,39.0,,22.0,,18.0,,,,,1,0,1,0,0,0,0,6800000.0
,59.0,,38.0,,2.0,,,,,1,1,1,0,1,0,1,6450000.0
,44.0,,29.0,,4.0,,,,,1,1,1,1,1,0,0,6900000.0
,54.0,,35.0,,5.0,,,,,1,1,1,1,1,1,1,7000000.0
,60.0,,42.0,,2.0,,,,,1,1,1,0,1,0,0,7500000.0
,34.0,,19.0,,3.0,,,,,1,1,1,1,1,1,1,5200000.0
,86.0,,50.0,,18.0,,,,,1,0,1,1,0,1,1,10800000.0
,36.0,,19.0,,8.0,,,,,1,1,1,1,1,0,1,5250000.0
,74.0,,45.0,,11.0,,,,,0,1,1,0,0,0,1,9850000.0
,39.0,,21.0,,6.0,,,,,1,0,1,1,0,0,1,5700000.0
,36.0,,19.0,,11.0,,,,,1,1,1,0,1,0,1,2000000.0
,44.0,,28.0,,7.0,,,,,1,1,1,0,0,0,0,5550000.0
,38.0,,20.0,,12.0,,,,,1,1,1,1,1,0,1,3000000.0
,47.0,,31.0,,3.0,,,,,1,1,1,1,1,0,1,6500000.0
,42.0,,26.0,,4.0,,,,,1,0,1,0,1,0,1,6400000.0
,115.0,,60.0,,7.0,,,,,1,0,1,0,1,0,0,37000000.0
,32.0,,18.0,,1.0,,,,,1,1,1,1,1,1,1,4450000.0
,30.0,,18.0,,8.0,,,,,1,1,1,1,0,0,0,5000000.0
,37.0,,22.0,,4.0,,,,,1,1,1,1,1,0,0,6000000.0
,44.0,,30.0,,3.0,,,,,1,0,1,1,1,0,0,5600000.0
,35.0,,22.0,,5.0,,,,,1,1,1,0,1,0,1,4300000.0
,30.0,,18.0,,3.0,,,,,1,1,1,0,0,0,1,4400000.0
,78.0,,74.0,,3.0,,,,,1,1,1,0,1,1,0,11900000.0
,98.0,,94.0,,,,,,,1,1,1,0,0,0,1,11500000.0
,32.0,,21.0,,7.0,,,,,1,0,1,1,1,0,0,5050000.0
,68.0,,47.0,,2.0,,,,,1,0,1,1,1,0,0,10239000.0
,38.0,,20.0,,2.0,,,,,1,0,1,0,1,0,1,4950000.0
,38.0,,19.0,,7.0,,,,,1,0,1,1,1,1,1,5300000.0
,98.0,,55.0,,12.0,,,,,1,1,1,0,0,0,1,18000000.0
,49.0,,29.0,,,,,,,0,0,1,0,0,0,1,8300000.0
,38.0,,19.0,,15.0,,,,,1,0,1,0,1,0,1,5500000.0
,37.0,,19.0,,10.0,,,,,0,1,1,0,0,0,0,6150000.0
,104.0,,64.0,,7.0,,,,,0,1,1,1,0,1,0,4210429.0
,45.0,,28.0,,5.0,,,,,1,1,1,1,0,0,0,5500000.0
,39.0,,39.0,,10.0,,,,,1,0,1,0,1,0,0,5000000.0
,37.0,,23.0,,,,,,,1,0,1,0,0,0,1,2000000.0
,36.0,,20.0,,5.0,,,,,1,1,1,1,1,0,0,6500000.0
,54.0,,38.0,,3.0,,,,,1,1,1,1,1,0,0,7200000.0
,54.0,,35.0,,2.0,,,,,1,1,1,0,0,0,1,6700000.0
,102.0,,64.0,,8.0,,,,,1,1,1,1,0,0,1,18100000.0
,38.0,,19.0,,15.0,,,,,1,1,1,1,0,0,0,7150000.0
,33.0,,14.0,,8.0,,,,,1,1,1,1,1,0,0,5700000.0
