build_year,sub_area,full_sq,kitch_sq,life_sq,num_room,floor,max_floor,month,dow,year,rel_floor,rel_kitch_sq,state,kindergarten_closely,railroad_closely,public_transport_station_closely,metro_closely,school_closely,park_closely,water_closely
,9,43.0,,27.0,,4.0,,8,5,2011,,,,1,1,1,1,1,0,0
,70,34.0,,19.0,,3.0,,8,1,2011,,,,1,1,1,1,1,0,0
,128,43.0,,29.0,,2.0,,8,5,2011,,,,1,1,1,0,1,1,1
,65,89.0,,50.0,,9.0,,9,3,2011,,,,1,0,1,1,1,1,0
,6,77.0,,77.0,,4.0,,9,0,2011,,,,1,1,1,1,1,1,0
,73,67.0,,46.0,,14.0,,9,1,2011,,,,1,1,1,0,1,0,0
,121,25.0,,14.0,,10.0,,9,3,2011,,,,0,1,1,1,0,0,1
,9,44.0,,44.0,,5.0,,9,4,2011,,,,1,0,1,1,0,0,0
,44,42.0,,27.0,,5.0,,9,5,2011,,,,1,1,1,1,1,0,1
,50,36.0,,21.0,,9.0,,9,1,2011,,,,1,1,1,1,1,0,0
,45,36.0,,19.0,,12.0,,9,4,2011,,,,1,0,1,1,1,1,0
,142,38.0,,19.0,,11.0,,9,4,2011,,,,1,1,1,0,1,0,0
,50,43.0,,28.0,,4.0,,9,5,2011,,,,1,1,1,0,0,0,0
,106,31.0,,31.0,,4.0,,9,0,2011,,,,1,1,1,1,0,1,1
,53,31.0,,21.0,,3.0,,9,0,2011,,,,1,1,1,1,0,0,0
,52,47.0,,31.0,,4.0,,9,1,2011,,,,1,1,1,1,1,0,0
,71,42.0,,28.0,,2.0,,9,1,2011,,,,1,1,1,1,1,0,0
,45,59.0,,33.0,,10.0,,9,3,2011,,,,1,0,1,0,0,1,0
,27,44.0,,29.0,,4.0,,9,3,2011,,,,1,1,1,1,1,0,0
,135,74.0,,44.0,,10.0,,9,3,2011,,,,1,1,1,0,0,0,1
,40,39.0,,39.0,,7.0,,9,3,2011,,,,0,1,1,0,1,0,1
,117,48.0,,34.0,,6.0,,9,4,2011,,,,0,1,1,0,1,0,0
,17,32.0,,18.0,,3.0,,9,4,2011,,,,1,0,1,1,1,0,0
,40,34.0,,19.0,,11.0,,9,4,2011,,,,1,1,1,0,0,0,1
,82,35.0,,20.0,,4.0,,9,0,2011,,,,1,1,1,1,1,0,0
,74,38.0,,20.0,,6.0,,9,0,2011,,,,1,1,1,1,1,0,1
